x,lat,lng,elevation,distance
0,35.134141,139.132082,0,0
1,35.135826,139.129202,0,322
2,35.13751,139.126322,0,644
3,35.139194,139.123441,0,966
4,35.140878,139.12056,0,1288
5,35.142562,139.117679,0,1611
6,35.144246,139.114799,6.62,1933
7,35.145929,139.111917,7.21,2255
8,35.147613,139.109036,12.2,2577
9,35.149297,139.106155,54.41,2899
10,35.15098,139.103273,171.56,3222
11,35.152664,139.100392,177.84,3544
12,35.154347,139.09751,228.21,3866
13,35.15603,139.094628,275.38,4188
14,35.157714,139.091747,433.76,4511
15,35.159397,139.088865,371.74,4833
16,35.16108,139.085982,380.06,5155
17,35.162763,139.0831,503.4,5477
18,35.164446,139.080218,485.39,5799
19,35.166129,139.077335,477.82,6122
20,35.167812,139.074453,580.5,6444
21,35.169495,139.07157,610.92,6766
22,35.171178,139.068687,654.96,7088
23,35.17286,139.065804,628.22,7411
24,35.174543,139.062921,626.64,7733
25,35.176225,139.060038,572.55,8055
26,35.177908,139.057154,723.95,8377
27,35.17959,139.054271,701.94,8699
28,35.181273,139.051387,879.47,9022
29,35.182955,139.048504,976.17,9344
30,35.184637,139.04562,919.16,9666
31,35.186319,139.042736,817,9988
32,35.188001,139.039852,743.06,10310
33,35.189683,139.036968,770.92,10633
34,35.191365,139.034084,864.06,10955
35,35.193047,139.031199,826.52,11277
36,35.194729,139.028315,748.39,11599
37,35.19641,139.02543,756.11,11922
38,35.198092,139.022545,724.5,12244
39,35.199773,139.01966,724.5,12566
40,35.201455,139.016775,724.5,12888
41,35.203136,139.01389,724.5,13210
42,35.204818,139.011005,724.5,13533
43,35.206499,139.00812,724.5,13855
44,35.20818,139.005234,724.5,14177
45,35.209861,139.002349,724.5,14499
46,35.211542,138.999463,724.5,14822
47,35.213223,138.996577,724.5,15144
48,35.214904,138.993691,852.18,15466
49,35.216585,138.990805,851.36,15788
50,35.218266,138.987919,831,16110
51,35.219947,138.985033,880.44,16433
52,35.221627,138.982146,955.14,16755
53,35.223308,138.97926,849.52,17077
